"DIVIPOLA","Departamento","Municipio","Número de Atenciones 2017","Número de Atenciones 2018","Número de Atenciones 2019","Número de Personas Atendidas 2017","Número de Personas Atendidas 2018","Número de Personas Atendidas 2019","Variación 2017 -2018","Variación 2018 - 2019","Total Número de embarazos, partos y puerperios","Total Número de Personas Atendidas de embarazos, partos y puerperios","tasa representativa (aproximación)","Tasa representativa "
"70678","Sucre","San Benito Abad   ","","","3","","","3","#DIV/0!","1","3","3","1 ??/11","100%"
"81220","Arauca","Cravo Norte    ","","7","5","","5","3","1","-0.66666666666667","12","8","1 ??/11","67%"
"85125","Casanare","Hato Corozal    ","","12","16","","6","3","1","-1","28","9","0 ??/10","32%"
"86865","Putumayo","Valle Del Guamuez   ","","","3","","","3","#DIV/0!","1","3","3","1 ??/11","100%"
"5002"," Antioquia","Abejorral     ","","2","3","","1","2","1","0.5","5","3","1 ??/11","60%"
"5034"," Antioquia","Andes     ","","3","8","","1","2","1","0.5","11","3","0 ??/10","27%"
"5044"," Antioquia","Anza     ","","","8","","","2","#DIV/0!","1","8","2","0 ??/10","25%"
"5197"," Antioquia","Cocorná     ","","","8","","","2","#DIV/0!","1","8","2","0 ??/10","25%"
"5264"," Antioquia","Entrerrios     ","","","6","","","2","#DIV/0!","1","6","2","0 ??/10","33%"
"5425"," Antioquia","Maceo     ","","","14","","","2","#DIV/0!","1","14","2","0 ??/10","14%"
"5483"," Antioquia","Nariño     ","","","6","","","2","#DIV/0!","1","6","2","0 ??/10","33%"
